id	Name	Source node	Target node	Length (m)	Inlet radius (m)	Outlet radius (m)	Young's modulus (Pa)	Resistance (Pa·s/m3)	Compliance (m3/Pa)
1	aortic_arch_I	1	2	0.025	0.01276	0.01036195189	399767.7106	0	0
2	brachiocephalic_trunk	2	3	0.034	0.005382472	0.004926992	162261.5939	0	0
3	subclavian_R_I	3	4	0.01574062903	0.003916504	0.003341878163	113259.9164	0	0
4	subclavian_R_II	4	5	0.0411	0.003341878163	0.001462616	54658.33742	0	0
5	radial_R	5	6	0.117	0.0011024	0.0011024	29079.51199	2929304040	0.000000001405785942
6	ulnar_R_I	5	7	0.02975624075	0.0011264	0.0011264	23402.08083	0	0
7	ulnar_R_II	7	8	0.171	0.0011264	0.0011264	23402.08083	2573974260	0.0000000008799912
8	common_interosseous_R	7	9	0.079	0.0007672	0.0005408	47707.4285	14837184960	0.000000001405785942
9	vertebral_R	4	10	0.148	0.001068216	0.001068216	66838.00699	0	0
10	common_carotid_R	3	11	0.031	0.003580472	0.002660992	225752.9161	0	0
11	external_carotid_R	11	12	0.041	0.001812376	0.001812376	70819.06429	3052013094	0.00000000051399486
12	internal_carotid_R	11	13	0.059	0.002212304	0.002212304	113451.4444	0	0
13	aortic_arch_II	2	14	0.009603836388	0.01036195189	0.01005245994	311625.1283	0	0
14	common_carotid_L	14	15	0.089	0.003580472	0.002660992	134723.5144	0	0
15	internal_carotid_L	15	16	0.059	0.002212304	0.002212304	148218.8225	0	0
16	external_carotid_L	15	17	0.06089705994	0.001812376	0.001812376	92924.43696	3052013094	0.00000000051399486
17	aortic_arch_III	14	18	0.006978531332	0.01005245994	0.009827570724	295524.0477	0	0
18	subclavian_L_I	18	19	0.034	0.003916504	0.002783868312	123091.4897	0	0
19	vertebral_L	19	10	0.149	0.001068216	0.001068216	93431.00126	0	0
20a	subclavian_L_II	19	20	0.0411	0.002783868312	0.002182616	54497.71169	0	0
20b	axillary_L	20	21	0.06	0.002182616	0.001462616	54497.71169	0	0
21	radial_L	21	22	0.117	0.0011024	0.0011024	37409.58053	2929304040	0.000000001405785942
22	ulnar_L_I	21	23	0.02975624075	0.0011264	0.0011264	27197.01286	0	0
23	ulnar_L_II	23	24	0.171	0.0011264	0.0011264	29885.08971	2573974260	0.0000000008799912
24	common_interosseous_L	23	25	0.079	0.0007672	0.0005408	60713.69951	14837184960	0.000000001405785942
25	aortic_arch_IV	18	26	0.04306	0.009827570724	0.008291044031	245475.8138	0	0
26	posterior_intercostal_T6_R	26	27	0.092	0.00112	0.00112	22980.57316	80966249675	0
27	thoracic_aorta_II	26	28	0.0078	0.008291044031	0.008172440347	219565.6231	0	0
28	posterior_intercostal_T6_L	28	29	0.092	0.00112	0.00112	22980.57316	80966249675	0
29	thoracic_aorta_III	28	30	0.0155559176	0.008172440347	0.007938316092	210258.0813	0	0
30	posterior_intercostal_T7_R	30	31	0.08	0.00124	0.00124	28168.78929	75540955280	0
31	thoracic_aorta_IV	30	32	0.0053	0.007938316092	0.007858141375	202134.4037	0	0
32	posterior_intercostal_T7_L	32	33	0.08	0.00124	0.00124	28168.78929	75540955280	0
33	thoracic_aorta_V	32	34	0.043	0.007858141375	0.005995939308	155480.6179	0	0
34	celiac_trunk	34	35	0.01682383336	0.002679984	0.002569968	48089.04773	0	0
35	common_hepatic	35	36	0.06655455225	0.002148912	0.002148912	40284.9453	1088279063	0.0000000008799912
36	splenic_I	35	37	0.003948745048	0.001733456	0.001733456	40818.74229	0	0
37	splenic_II	37	38	0.06440274183	0.001733456	0.001733456	40818.74229	1135321980	0.000000001405785942
38	left_gastric	37	39	0.071	0.001205328	0.001205328	17381.57793	3527298060	0
39	abdominal_aorta_I	34	40	0.01398843447	0.005995939308	0.005855296786	140031.1847	0	0
40	superior_mesenteric	40	41	0.059	0.003140896	0.003140896	102045.2236	450662160	0.000000001405785942
41	abdominal_aorta_II	40	42	0.0043	0.005855296786	0.005811871432	144197.3639	0	0
42	renal_L	42	43	0.02183653502	0.00216712	0.00216712	76088.10164	554661120	0.0000000008799912
43	abdominal_aorta_III	42	44	0.01197728268	0.005811871432	0.005691449434	156667.0079	0	0
44	renal_R	44	45	0.02183653502	0.002477896	0.002477896	99475.69399	554661120	0.0000000008799912
45	abdominal_aorta_IV	44	46	0.05408937663	0.005691449434	0.005147624011	186681.7997	0	0
46	inferior_mesenteric	46	47	0.05	0.001661984	0.001661984	118418.5109	4480621860	0.000000001405785942
47	abdominal_aorta_V	46	48	0.02	0.005147624011	0.004723088	148744.3667	0	0
48	common_iliac_R	48	49	0.058	0.003598944	0.003272904	120644.7496	0	0
49	internal_iliac_R	49	50	0.05	0.002254632	0.002254632	336397.9422	1347305787	0.000000001405785942
50	external_iliac_R	49	51	0.061	0.002702064	0.002514979938	116176.1662	0	0
51	profunda_femoris_R	51	52	0.126	0.00171556	0.00171556	81794.51141	1113733457	0.0000000008799912
52	femoral_R_II	51	53	0.126	0.002514979938	0.001894143848	139914.9264	0	0
53	popliteal_R_II	53	54	0.094	0.001894143848	0.000983488	99329.59782	3111302220	0.0000000008799912
54	anterior_tibial_R	53	55	0.343	0.00093304	0.00093304	131278.4292	3111302220	0.00000000085833465
55	common_iliac_L	48	56	0.058	0.003598944	0.003272904	120644.7496	0	0
56	internal_iliac_L	56	57	0.05	0.002254632	0.002254632	336397.9422	1347305787	0.000000001405785942
57	external_iliac_L	56	58	0.061	0.002702064	0.002514979938	116176.1662	0	0
58	profunda_femoris_L	58	59	0.126	0.00171556	0.00171556	81794.51141	1113733457	0.0000000008799912
59	femoral_L_II	58	60	0.126	0.002514979938	0.001894143878	139914.9283	0	0
60	popliteal_L_II	60	61	0.094	0.001894143878	0.000983488	98813.60194	3111302220	0.0000000008799912
61	anterior_tibial_L	60	62	0.343	0.00093304	0.00093304	129867.9998	3111302220	0.00000000085833465
62	basilar	10	63	0.005	0.001296	0.001296	960000	0	0
63	posterior_cerebral_P1_L	63	64	0.002	0.000856	0.000856	960000	0	0
64	posterior_cerebral_P2_L	64	65	0.05	0.00084	0.00084	960000	6976596900	0.000000000138
65	posterior_communicating_L	64	16	0.004	0.000584	0.000584	960000	0	0
66	internal_carotid_II_L	16	66	0.005	0.0016	0.0016	960000	0	0
67	middle_cerebral_L	66	67	0.07	0.001144	0.001144	960000	3880500000	0.0000000009165
68	anterior_cerebral_I_L	66	68	0.009	0.000936	0.000936	960000	0	0
69	anterior_cerebral_II_L	68	69	0.024	0.00096	0.00096	960000	5512000000	0.000000000168
70	anterior_communicating	68	70	0.002	0.000592	0.000592	960000	0	0
